	locality	SVL	HL	HW	AGL	ED	TD	END	IND	UAL	FAL	HAL	TGL	TL	TAL	FL				
16605	hypo	39.9	8.6	12.1	19.3	5.1	2.0	2.6	3.4	7.3	9.1	10.5	16.5	17.6	13.0	13.6				
16504	hypo	42.0	9.4	13.0	22.2	5.3	1.4	3.0	3.9	8.4	9.6	10.7	18.5	17.8	13.3	14.0				
16505	hypo	39.6	8.0	12.5	20.3	5.0	1.8	2.6	3.5	8.4	9.8	10.2	18.7	17.5	13.7	13.8				
16506	hypo	40.4	8.4	12.4	19.3	5.1	1.8	3.0	3.4	8.1	9.7	10.2	18.5	19.3	12.9	12.7				
16507	hypo	38.9	9.1	12.4	18.7	4.7	1.7	2.8	3.7	8.0	9.5	9.7	17.0	18.5	12.3	14.1				
16508	hypo	39.5	8.3	12.8	20.0	4.8	1.8	2.7	3.6	7.6	9.4	10.3	17.5	19.1	12.3	13.3				
16509	hypo	39.9	8.5	13.0	21.5	4.9	2.3	3.0	3.6	8.3	9.4	10.3	18.1	19.3	13.6	13.3				
16550	hypo	37.9	8.1	11.4	18.4	4.5	2.3	2.4	3.3	8.3	9.1	9.5	17.2	17.2	11.6	12.8				
16555	hypo	36.6	7.7	11.2	16.9	4.7	2.1	2.7	3.2	7.4	8.0	9.8	16.8	16.1	10.3	12.1				
16562	hypo	37.3	7.7	11.4	18.6	4.5	1.7	2.7	3.4	8.2	8.7	10.2	16.8	16.3	11.0	12.5				
16559	hypo	37.6	8.0	11.4	18.8	4.4	1.7	2.5	3.3	7.7	8.3	10.1	17.4	17.3	12.5	12.7				
16553	hypo	38.5	9.0	11.9	19.1	4.5	1.8	2.7	3.6	7.6	9.1	10.2	16.4	17.2	10.3	12.7				
16551	hypo	39.7	8.4	12.0	20.2	4.8	1.4	2.8	3.4	7.8	9.8	10.1	17.4	17.5	12.0	13.3				
16511	hypo	36.4	8.1	10.8	19.3	4.3	1.9	2.5	3.2	7.3	8.1	9.1	15.5	16.2	11.0	12.2				
16530	hypo	35.4	8.0	11.3	16.1	4.0	1.4	2.5	3.3	8.0	9.0	9.4	17.0	17.0	11.4	11.6				
16529	hypo	33.6	7.6	10.5	16.3	4.3	1.6	2.3	3.5	6.8	7.6	8.9	14.9	14.8	9.9	11.4				
16561	hypo	36.5	8.0	11.6	16.6	4.3	1.7	2.3	3.3	7.4	8.5	8.4	16.9	16.1	11.7	12.1				
16520	hypo	36.5	8.7	11.4	16.6	4.1	1.8	2.5	3.4	7.1	8.9	9.7	17.3	16.8	11.8	12.3				
16515	hypo	36.7	8.4	11.5	17.5	4.4	1.8	2.6	3.4	7.4	8.3	9.5	15.2	16.1	10.8	12.6				
19916	hypo	37.6	8.6	11.6	19.3	4.5	1.8	2.4	3.7	7.7	8.5	9.7	16.2	16.1	11.4	10.7				
19940	hypo	38.0	9.3	12.4	18.9	4.8	1.6	2.5	3.4	7.4	8.6	9.1	16.5	15.9	11.4	11.8				
19944	hypo	33.7	7.1	11.0	15.0	4.1	1.5	2.1	3.1	7.2	7.8	9.0	15.1	15.7	10.9	12.1				
19938	hypo	36.9	7.2	11.1	18.1	4.2	1.4	2.6	3.3	7.4	7.5	8.3	16.2	15.8	11.4	11.5				
19917	hypo	34.0	7.3	10.6	15.7	3.7	2.0	2.3	3.1	7.0	7.8	8.9	15.3	15.6	10.3	12.3				
19930	hypo	34.6	7.8	10.8	16.8	4.1	2.0	2.5	3.3	7.7	8.3	9.1	15.6	15.4	10.5	11.7				
19932	hypo	35.1	7.3	11.3	16.7	4.2	2.0	2.6	3.5	7.5	8.9	9.6	16.4	15.9	11.3	11.9				
19923	hypo	35.8	7.4	11.2	16.3	4.3	2.0	2.5	3.6	7.2	7.8	9.7	15.8	15.2	10.3	11.6				
19927	hypo	36.2	7.4	10.9	18.4	3.6	1.5	2.4	3.6	7.2	7.9	10.5	15.8	15.7	10.5	12.4				
19920	hypo	34.3	7.2	10.5	17.0	4.3	1.8	2.2	3.3	7.7	7.9	9.3	15.7	15.4	10.5	11.8				
19922	hypo	37.3	8.4	12.1	17.5	4.7	2.0	2.4	3.7	7.2	8.4	9.6	17.6	16.9	11.4	11.7				
19926	hypo	36.2	7.9	11.4	17.2	4.5	2.0	2.6	3.4	6.6	8.2	9.3	16.0	15.4	10.8	11.7				
19928	hypo	37.4	8.0	11.5	17.5	4.7	1.9	2.5	3.5	7.4	9.3	10.2	17.5	16.6	11.0	13.6				
19918	hypo	36.8	7.6	11.3	17.5	4.2	1.5	2.5	3.5	7.1	8.8	10.2	16.9	16.9	11.3	13.3				
19921	hypo	35.1	9.2	11.4	16.0	4.5	1.7	2.5	3.7	7.4	8.9	10.1	17.1	16.5	11.6	11.2				
19945	hypo	36.5	8.9	12.4	20.3	4.1	2.1	2.7	3.3	8.0	8.7	10.7	16.0	16.2	11.7	12.8				
19943	hypo	37.7	8.6	11.4	18.2	4.3	1.7	2.8	3.6	7.5	7.6	9.5	16.1	15.7	10.7	12.8				
19933	hypo	36.3	9.2	11.8	15.8	4.4	2.3	2.4	3.4	7.7	9.4	9.9	17.5	16.4	12.1	11.8				
5987	hypo	36.6	9.1	11.5	16.4	4.8	1.5	2.5	3.4	7.7	8.4	9.9	16.8	16.3	12.0	12.5				
5988	hypo	36.1	9.3	11.3	14.8	4.7	1.8	2.8	3.7	8.1	8.9	9.6	17.5	17.3	11.5	12.3				
5989	hypo	38.1	8.8	11.6	14.7	4.5	2.2	2.5	3.5	7.3	8.8	9.6	17.4	17.1	11.2	12.6				
5998	hypo	38.0	8.6	11.7	18.6	4.4	2.3	2.6	3.5	7.5	8.8	10.3	17.2	16.9	11.5	12.9				
5999	hypo	38.0	9.7	11.7	17.5	4.8	2.1	2.7	3.7	7.7	9.3	10.1	16.8	16.3	10.9	13.0				
6000	hypo	39.0	9.2	12.0	18.3	4.5	1.9	2.7	3.6	7.8	8.9	10.5	16.7	16.9	11.8	12.8				
3489	hypo	34.2	7.6	10.8	15.5	4.0	1.7	2.3	3.3	7.3	8.0	9.3	14.4	15.3	10.4	11.6				
3490	hypo	36.5	8.9	10.5	16.3	4.9	2.0	2.3	3.5	7.7	8.3	9.0	15.5	15.5	10.4	12.7				
3491	hypo	34.6	7.8	10.7	15.5	3.9	2.0	2.6	2.8	7.6	8.6	9.4	15.8	15.2	10.4	12.8				
3492	hypo	35.8	7.4	11.2	19.4	4.1	1.8	2.7	3.1	8.1	8.3	9.4	15.2	14.9	10.5	12.5				
3493	hypo	36.2	8.1	11.2	17.2	4.3	1.9	2.7	3.4	7.4	8.6	9.6	15.9	15.8	10.4	13.3				
3494	hypo	37.7	7.9	11.7	18.8	4.3	1.9	2.8	3.4	7.9	8.2	9.8	15.4	15.7	10.3	12.2				
21650	hypo	36.6	7.8	11.7	18.3	4.2	1.9	2.2	3.3	6.9	7.8	9.2	15.7	15.2	10.6	11.9				
1078	hypo	36.3	8.0	10.9	14.9	4.0	2.0	2.3	3.8	7.3	7.9	9.3	15.1	15.3	10.7	12.7				
1079	hypo	34.6	8.4	10.8	14.5	4.0	1.5	2.2	3.2	7.2	6.9	9.4	14.9	15.9	11.2	12.4				
1080	hypo	36.5	8.8	11.0	15.8	4.6	1.6	2.5	3.8	7.9	9.0	9.7	15.9	16.5	11.2	12.4				
1081	hypo	35.0	9.2	11.0	15.0	4.5	1.5	2.2	3.5	7.5	7.6	9.4	15.2	15.6	10.7	12.4				
1082	hypo	35.1	7.3	10.7	15.0	4.3	2.0	2.2	3.4	7.5	8.4	9.8	15.7	15.8	11.0	12.2				
1083	hypo	36.8	8.1	11.4	17.2	3.8	1.6	2.3	3.6	8.3	8.8	9.6	16.3	16.3	11.0	11.9				
1084	hypo	37.4	8.7	11.0	16.7	4.5	1.9	2.3	3.6	7.9	9.0	9.6	16.1	16.3	11.3	13.3				
1963	hypo	33.7	5.9	10.2	16.3	3.9	1.7	2.4	2.9	6.6	7.8	10.0	13.2	13.8	9.8	12.1				
1964	hypo	36.8	7.0	11.7	16.0	4.7	1.2	2.2	3.8	8.1	8.0	10.3	14.9	15.8	11.0	12.2				
